seed,result,time (seconds)
1,unsolvable,0.395
2,solved,0.013
3,solved,2.105
4,solved,0.011
5,solved,0.046
6,solved,0.071
7,solved,0.253
8,solved,27.79
9,solved,0.004
10,solved,0.279
11,solved,0.001
12,solved,0
13,solved,0
14,solved,0.05
15,unsolvable,131.045
16,solved,5.758
17,solved,0.005
18,solved,0
19,unsolvable,0.002
20,solved,0
21,unsolvable,0
22,unknown,3600
23,solved,0
24,solved,0
25,solved,0
26,solved,0
27,solved,1.276
28,solved,0.053
29,unsolvable,0
30,solved,0
31,unsolvable,29.957
32,solved,0.013
33,unsolvable,92.632
34,solved,1.468
35,solved,0.018
36,solved,0
37,solved,1.125
38,solved,0
39,unsolvable,355.985
40,unsolvable,0
41,solved,0
42,solved,0
43,unsolvable,0.539
44,solved,0
45,unsolvable,0.008
46,solved,0
47,solved,0
48,solved,17.082
49,solved,0.001
50,solved,0
51,unsolvable,0
52,solved,0.002
53,solved,19.35
54,solved,5.742
55,solved,0.101
56,solved,20.29
57,solved,0
58,solved,0.001
59,unsolvable,0
60,solved,0.001
61,solved,0
62,solved,1.171
63,solved,0
64,solved,0.008
65,solved,0
66,unsolvable,10.633
67,solved,0
68,solved,0
69,solved,0
70,unsolvable,0
71,solved,0.012
72,solved,3.617
73,unsolvable,0
74,unsolvable,2.33
75,solved,0
76,solved,0.772
77,solved,0
78,unsolvable,6.989
79,unsolvable,0.927
80,solved,0.001
81,unsolvable,0.222
82,solved,1.172
83,solved,0.003
84,solved,0
85,solved,0
86,solved,0
87,solved,0.112
88,unsolvable,0.065
89,solved,0.001
90,unsolvable,119.472
91,solved,0.005
92,solved,0.036
93,unsolvable,0.004
94,solved,0
95,solved,0.001
96,solved,0
97,solved,0.052
98,solved,0.006
99,solved,0.001
100,solved,0
101,unsolvable,0.222
102,unsolvable,0.016
103,solved,0
104,solved,0.063
105,unsolvable,0
106,unsolvable,0.001
107,unsolvable,0
108,solved,0.216
109,solved,0
110,solved,37.889
111,solved,0.022
112,solved,0.021
113,solved,0.013
114,solved,0.012
115,solved,0
116,unsolvable,0.108
117,solved,5.655
118,solved,0
119,solved,0.009
120,solved,0
121,unsolvable,0.03
122,solved,0
123,solved,0.001
124,unsolvable,0
125,unsolvable,136.695
126,solved,1.89
127,solved,0.003
128,solved,0.005
129,solved,0.06
130,solved,0
131,unsolvable,0.346
132,solved,0.074
133,solved,0.001
134,solved,0.011
135,solved,27.478
136,solved,0.006
137,solved,0.014
138,solved,0.001
139,unsolvable,0.014
140,solved,0.003
141,solved,0.001
142,unsolvable,0
143,unsolvable,0.094
144,solved,0.001
145,unsolvable,0
146,solved,0.001
147,solved,0
148,unsolvable,4.591
149,solved,0.004
150,solved,0.048
151,solved,0
152,solved,0.873
153,unsolvable,0.004
154,solved,0
155,solved,589.081
156,unsolvable,0.237
157,solved,0.012
158,solved,0
159,solved,0
160,solved,3.553
161,solved,0
162,solved,0
163,solved,6.296
164,solved,7.272
165,solved,0.269
166,solved,0
167,solved,0.009
168,solved,0
169,solved,0.009
170,solved,24.898
171,solved,0
172,solved,0.025
173,solved,0
174,solved,0.116
175,solved,0.003
176,solved,0
177,solved,0
178,solved,0
179,solved,0
180,solved,0.055
181,unsolvable,5.428
182,solved,49.27
183,solved,0
184,solved,0
185,solved,0
186,solved,0.016
187,solved,17
188,solved,0.198
189,solved,0
190,solved,0.001
191,solved,0
192,solved,0.012
193,solved,0.009
194,solved,0
195,unsolvable,0.089
196,solved,0
197,solved,0
198,solved,0
199,solved,0
200,solved,0.007
201,unsolvable,0.938
202,solved,0.133
203,solved,0.001
204,solved,0.002
205,solved,0.003
206,solved,0.001
207,solved,0
208,solved,0.037
209,solved,0
210,solved,0.039
211,solved,0.626
212,solved,0.039
213,unsolvable,25.887
214,solved,0.225
215,solved,0.006
216,solved,0.169
217,solved,0.008
218,solved,0.004
219,solved,40.43
220,unsolvable,0.152
221,solved,0
222,solved,0.018
223,unsolvable,0
224,solved,0
225,solved,0.006
226,solved,0.023
227,solved,0.007
228,solved,0
229,solved,0
230,solved,0
231,solved,0.195
232,solved,0
233,solved,0.002
234,solved,1.423
235,solved,0.047
236,solved,0
237,unsolvable,3.457
238,solved,0.001
239,unsolvable,0.086
240,solved,3.681
241,solved,0
242,solved,0.021
243,unsolvable,37.178
244,solved,0.012
245,solved,0.067
246,solved,0
247,solved,0
248,unsolvable,0.129
249,solved,1.726
250,solved,0
251,solved,0.003
252,solved,0.001
253,solved,0.286
254,solved,0.001
255,solved,0.036
256,unsolvable,0.106
257,solved,0.535
258,solved,0.005
259,solved,0.17
260,solved,0.988
261,solved,0
262,solved,0.042
263,unsolvable,222.261
264,solved,1.412
265,unsolvable,0
266,solved,0
267,solved,2.006
268,solved,0
269,solved,0
270,solved,2.764
271,solved,0.037
272,solved,0.028
273,solved,0.186
274,solved,0
275,solved,0
276,solved,0
277,unsolvable,10.55
278,solved,0.416
279,solved,0
280,unsolvable,0.212
281,solved,0
282,unsolvable,0.007
283,unsolvable,0.002
284,solved,5.977
285,solved,0.181
286,solved,0
287,solved,0.118
288,solved,0.003
289,solved,0.012
290,solved,0
291,solved,0
292,solved,0.002
293,solved,0
294,unsolvable,481.922
295,solved,0.359
296,solved,0
297,solved,1.155
298,solved,0
299,solved,0.001
300,solved,0
301,solved,0
302,solved,0
303,unsolvable,16.912
304,solved,0.001
305,solved,0.082
306,solved,0.001
307,unsolvable,0.001
308,solved,0.001
309,solved,0.095
310,solved,0.021
311,solved,0.126
312,unsolvable,10.945
313,solved,0.077
314,solved,0
315,solved,0
316,solved,0.004
317,solved,0
318,solved,0.371
319,unsolvable,0
320,solved,0
321,solved,3.943
322,unsolvable,4.183
323,unsolvable,94.329
324,solved,0.002
325,solved,0.056
326,unsolvable,16.35
327,solved,0.006
328,solved,0.027
329,unsolvable,0.177
330,solved,0.008
331,unsolvable,9.423
332,solved,0
333,solved,0.061
334,solved,0.239
335,solved,0.017
336,unsolvable,82.907
337,solved,0.007
338,solved,0
339,solved,0
340,solved,0.05
341,solved,0.101
342,solved,0
343,solved,0
344,solved,0
345,solved,0
346,solved,0.019
347,solved,0.004
348,solved,0.009
349,solved,0.016
350,solved,0.018
351,solved,9.02
352,solved,1.097
353,solved,0
354,solved,0
355,solved,0.015
356,solved,0
357,solved,0.14
358,solved,0.002
359,solved,0.01
360,solved,0.042
361,unsolvable,0.603
362,solved,0.037
363,solved,67.629
364,unsolvable,41.85
365,solved,4.976
366,solved,0.001
367,solved,1.941
368,solved,0.795
369,solved,0
370,solved,0
371,solved,0
372,solved,0
373,unsolvable,0.167
374,solved,0
375,solved,0
376,solved,0
377,solved,0.005
378,solved,0
379,solved,0
380,unsolvable,10.656
381,solved,0.001
382,solved,0
383,solved,0.001
384,solved,0.003
385,solved,0
386,solved,0
387,solved,1.52
388,solved,0
389,solved,3.16
390,solved,0.139
391,solved,0
392,solved,0.008
393,solved,2.005
394,unsolvable,0.086
395,solved,0
396,solved,0
397,solved,0.001
398,unsolvable,16.021
399,solved,0.028
400,solved,0.509
401,solved,0.006
402,solved,0
403,unsolvable,0
404,solved,0
405,solved,11.453
406,solved,0.038
407,solved,0.004
408,solved,0.005
409,unsolvable,38.104
410,solved,0
411,solved,1.546
412,solved,0.001
413,solved,0.001
414,solved,0.015
415,unsolvable,0.002
416,solved,0.007
417,solved,10.721
418,solved,0.002
419,solved,0
420,solved,0
421,solved,2.167
422,unsolvable,0
423,solved,0.006
424,solved,0
425,solved,0.677
426,solved,0
427,solved,0.015
428,solved,0.002
429,solved,0
430,solved,0
431,unsolvable,36.419
432,solved,0.02
433,solved,1222.955
434,solved,0.001
435,solved,0
436,solved,0
437,unsolvable,0
438,solved,0.001
439,solved,12.7
440,solved,0.013
441,solved,0.002
442,solved,0
443,solved,0
444,solved,0
445,solved,58.085
446,solved,0.002
447,solved,0.002
448,solved,0.004
449,solved,0.021
450,solved,0
451,solved,0
452,unsolvable,0
453,solved,0.001
454,solved,0
455,solved,0.001
456,solved,476.704
457,solved,7.239
458,solved,0
459,solved,0.001
460,solved,0.72
461,solved,0.351
462,unsolvable,0.002
463,solved,0.006
464,unsolvable,2.236
465,solved,0.001
466,solved,0.001
467,solved,0
468,solved,0
469,solved,858.229
470,solved,0
471,solved,0.002
472,solved,0.01
473,solved,0
474,solved,0
475,solved,0.006
476,unsolvable,0.001
477,unsolvable,0.123
